Acanthis flammea,Common Redpoll
Accipiter cooperii,Cooper's Hawk
Accipiter striatus,Sharp-shinned Hawk
Actitis macularius,Spotted Sandpiper
Aechmophorus occidentalis,Western Grebe
Aeronautes saxatalis,White-throated Swift
Agelaius phoeniceus,Red-winged Blackbird
Aix sponsa,Wood Duck
Alectoris chukar,Chukar
Amphispiza bilineata,Black-throated Sparrow
Anas acuta,Northern Pintail
Anas crecca,Green-winged Teal
Anas platyrhynchos,Mallard
Anser caerulescens,Snow Goose
Anthus rubescens,American Pipit
Aphelocoma californica,California Scrub-Jay
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay
Aquila chrysaetos,Golden Eagle
Archilochus alexandri,Black-chinned Hummingbird
Archilochus colubris,Ruby-throated Hummingbird
Ardea alba,Great Egret
Ardea herodias,Great Blue Heron
Artemisiospiza belli,Bell's Sparrow
Artemisiospiza nevadensis,Sagebrush Sparrow
Asio flammeus,Short-eared Owl
Aythya americana,Redhead
Aythya collaris,Ring-necked Duck
Baeolophus bicolor,Tufted Titmouse
Baeolophus ridgwayi,Juniper Titmouse
Bombycilla cedrorum,Cedar Waxwing
Bonasa umbellus,Ruffed Grouse
Botaurus lentiginosus,American Bittern
Branta canadensis,Canada Goose
Bubo virginianus,Great Horned Owl
Bucephala albeola,Bufflehead
Bucephala clangula,Common Goldeneye
Buteo jamaicensis,Red-tailed Hawk
Buteo lineatus,Red-shouldered Hawk
Buteo platypterus,Broad-winged Hawk
Buteo swainsoni,Swainson's Hawk
Butorides virescens,Green Heron
Calidris bairdii,Baird's Sandpiper
Calidris mauri,Western Sandpiper
Calidris melanotos,Pectoral Sandpiper
Calidris minutilla,Least Sandpiper
Calidris pusilla,Semipalmated Sandpiper
Callipepla californica,California Quail
Calypte anna,Anna's Hummingbird
Calypte costae,Costa's Hummingbird
Campylorhynchus brunneicapillus,Cactus Wren
Cardellina canadensis,Canada Warbler
Cardellina pusilla,Wilson's Warbler
Cardinalis cardinalis,Northern Cardinal
Catharus fuscescens,Veery
Catharus guttatus,Hermit Thrush
Catharus ustulatus,Swainson's Thrush
Catherpes mexicanus,Canyon Wren
Certhia americana,Brown Creeper
Chaetura pelagica,Chimney Swift
Charadrius semipalmatus,Semipalmated Plover
Charadrius vociferus,Killdeer
Chondestes grammacus,Lark Sparrow
Chordeiles acutipennis,Lesser Nighthawk
Chordeiles minor,Common Nighthawk
Chroicocephalus philadelphia,Bonaparte's Gull
Circus hudsonius,Northern Harrier
Cistothorus palustris,Marsh Wren
Clangula hyemalis,Long-tailed Duck
Coccothraustes vespertinus,Evening Grosbeak
Coccyzus erythropthalmus,Black-billed Cuckoo
Colaptes auratus,Northern Flicker
Columba livia,Rock Pigeon
Contopus cooperi,Olive-sided Flycatcher
Contopus sordidulus,Western Wood-Pewee
Contopus virens,Eastern Wood-Pewee
Corvus brachyrhynchos,American Crow
Corvus corax,Common Raven
Corvus ossifragus,Fish Crow
Cyanocitta cristata,Blue Jay
Cyanocitta stelleri,Steller's Jay
Cygnus buccinator,Trumpeter Swan
Cygnus columbianus,Tundra Swan
Dolichonyx oryzivorus,Bobolink
Dryobates nuttallii,Nuttall's Woodpecker
Dryobates pubescens,Downy Woodpecker
Dryobates scalaris,Ladder-backed Woodpecker
Dryobates villosus,Hairy Woodpecker
Dryocopus pileatus,Pileated Woodpecker
Dumetella carolinensis,Gray Catbird
Empidonax alnorum,Alder Flycatcher
Empidonax difficilis,Pacific-slope Flycatcher
Empidonax flaviventris,Yellow-bellied Flycatcher
Empidonax hammondii,Hammond's Flycatcher
Empidonax minimus,Least Flycatcher
Empidonax oberholseri,Dusky Flycatcher
Empidonax traillii,Willow Flycatcher
Empidonax wrightii,Gray Flycatcher
Eremophila alpestris,Horned Lark
Euphagus carolinus,Rusty Blackbird
Euphagus cyanocephalus,Brewer's Blackbird
Falco columbarius,Merlin
Falco peregrinus,Peregrine Falcon
Falco sparverius,American Kestrel
Fulica americana,American Coot
Gallinago delicata,Wilson's Snipe
Gavia immer,Common Loon
Geococcyx californianus,Greater Roadrunner
Geothlypis tolmiei,MacGillivray's Warbler
Geothlypis trichas,Common Yellowthroat
Gymnorhinus cyanocephalus,Pinyon Jay
Haemorhous cassinii,Cassin's Finch
Haemorhous mexicanus,House Finch
Haemorhous purpureus,Purple Finch
Haliaeetus leucocephalus,Bald Eagle
Hirundo rustica,Barn Swallow
Hydroprogne caspia,Caspian Tern
Hylocichla mustelina,Wood Thrush
Icterus bullockii,Bullock's Oriole
Icterus galbula,Baltimore Oriole
Icterus parisorum,Scott's Oriole
Ixobrychus exilis,Least Bittern
Junco hyemalis,Dark-eyed Junco
Lanius ludovicianus,Loggerhead Shrike
Larus argentatus,Herring Gull
Larus californicus,California Gull
Larus delawarensis,Ring-billed Gull
Leiothlypis celata,Orange-crowned Warbler
Leucosticte tephrocotis,Gray-crowned Rosy-Finch
Limnodromus scolopaceus,Long-billed Dowitcher
Lophodytes cucullatus,Hooded Merganser
Loxia curvirostra,Red Crossbill
Mareca americana,American Wigeon
Mareca strepera,Gadwall
Megaceryle alcyon,Belted Kingfisher
Melanerpes carolinus,Red-bellied Woodpecker
Melanerpes lewis,Lewis's Woodpecker
Meleagris gallopavo,Wild Turkey
Melospiza georgiana,Swamp Sparrow
Melospiza lincolnii,Lincoln's Sparrow
Melospiza melodia,Song Sparrow
Mergus merganser,Common Merganser
Mergus serrator,Red-breasted Merganser
Mimus polyglottos,Northern Mockingbird
Mniotilta varia,Black-and-white Warbler
Molothrus ater,Brown-headed Cowbird
Myiarchus cinerascens,Ash-throated Flycatcher
Myiarchus crinitus,Great Crested Flycatcher
Nucifraga columbiana,Clark's Nutcracker
Numenius americanus,Long-billed Curlew
Oreoscoptes montanus,Sage Thrasher
Oxyura jamaicensis,Ruddy Duck
Pandion haliaetus,Osprey
Parkesia motacilla,Louisiana Waterthrush
Parkesia noveboracensis,Northern Waterthrush
Passer domesticus,House Sparrow
Passerculus sandwichensis,Savannah Sparrow
Passerella iliaca,Fox Sparrow
Passerina amoena,Lazuli Bunting
Passerina caerulea,Blue Grosbeak
Passerina cyanea,Indigo Bunting
Petrochelidon pyrrhonota,Cliff Swallow
Phainopepla nitens,Phainopepla
Phalacrocorax auritus,Double-crested Cormorant
Phalaropus lobatus,Red-necked Phalarope
Pheucticus ludovicianus,Rose-breasted Grosbeak
Pheucticus melanocephalus,Black-headed Grosbeak
Pica hudsonia,Black-billed Magpie
Pinicola enucleator,Pine Grosbeak
Pipilo chlorurus,Green-tailed Towhee
Pipilo erythrophthalmus,Eastern Towhee
Pipilo maculatus,Spotted Towhee
Piranga ludoviciana,Western Tanager
Piranga olivacea,Scarlet Tanager
Plectrophenax nivalis,Snow Bunting
Plegadis chihi,White-faced Ibis
Podiceps auritus,Horned Grebe
Podiceps nigricollis,Eared Grebe
Podilymbus podiceps,Pied-billed Grebe
Poecile atricapillus,Black-capped Chickadee
Poecile gambeli,Mountain Chickadee
Polioptila caerulea,Blue-gray Gnatcatcher
Pooecetes gramineus,Vesper Sparrow
Porzana carolina,Sora
Psaltriparus minimus,Bushtit
Quiscalus mexicanus,Great-tailed Grackle
Quiscalus quiscula,Common Grackle
Recurvirostra americana,American Avocet
Regulus calendula,Ruby-crowned Kinglet
Regulus satrapa,Golden-crowned Kinglet
Riparia riparia,Bank Swallow
Salpinctes obsoletus,Rock Wren
Sayornis nigricans,Black Phoebe
Sayornis phoebe,Eastern Phoebe
Sayornis saya,Say's Phoebe
Scolopax minor,American Woodcock
Seiurus aurocapilla,Ovenbird
Selasphorus platycercus,Broad-tailed Hummingbird
Selasphorus rufus,Rufous Hummingbird
Setophaga americana,Northern Parula
Setophaga caerulescens,Black-throated Blue Warbler
Setophaga citrina,Hooded Warbler
Setophaga coronata,Yellow-rumped Warbler
Setophaga discolor,Prairie Warbler
Setophaga fusca,Blackburnian Warbler
Setophaga magnolia,Magnolia Warbler
Setophaga nigrescens,Black-throated Gray Warbler
Setophaga palmarum,Palm Warbler
Setophaga pensylvanica,Chestnut-sided Warbler
Setophaga petechia,Yellow Warbler
Setophaga pinus,Pine Warbler
Setophaga ruticilla,American Redstart
Setophaga striata,Blackpoll Warbler
Setophaga tigrina,Cape May Warbler
Setophaga virens,Black-throated Green Warbler
Sialia currucoides,Mountain Bluebird
Sialia mexicana,Western Bluebird
Sialia sialis,Eastern Bluebird
Sitta canadensis,Red-breasted Nuthatch
Sitta carolinensis,White-breasted Nuthatch
Sitta pygmaea,Pygmy Nuthatch
Spatula clypeata,Northern Shoveler
Spatula discors,Blue-winged Teal
Sphyrapicus ruber,Red-breasted Sapsucker
Sphyrapicus varius,Yellow-bellied Sapsucker
Spinus pinus,Pine Siskin
Spinus psaltria,Lesser Goldfinch
Spinus tristis,American Goldfinch
Spizella breweri,Brewer's Sparrow
Spizella passerina,Chipping Sparrow
Spizella pusilla,Field Sparrow
